Parcela,Zona_vida,Altitud,Temp_media,Rango_diurno_Temp,Est_Temp,Prec_anual,Rango_anual_Temp,Prec_min,Est_Prec
59023,bh-T,100,27.7124996185303,9.60833358764648,30.009485244751,2862,10.6000003814697,62,40.8528747558594
59024,bh-T,150,27.5666656494141,9.83333301544189,25.5247783660889,2725,10.8000011444092,81,44.0370903015137
59025,bh-T,145,27.6791667938232,9.75833320617676,26.2382736206055,2806,10.7000007629395,116,37.898494720459
59026,bh-T,160,27.6166667938232,9.85000038146973,25.9661903381348,2898,10.7000007629395,68,43.7949028015137
59027,bh-T,80,27.7416667938232,9.89999961853027,27.4552021026611,2713,10.7999992370605,101,43.8764572143555
59028,bh-T,100,27.4750003814697,9.70000076293945,25.6284713745117,2611,10.6000003814697,82,44.0275497436523
59029,bh-T,120,27.3333339691162,9.58333301544189,26.3139591217041,2680,10.5,99,41.6330642700195
59030,bh-T,80,27.6124992370605,9.70833301544189,29.3973789215088,2892,10.7000007629395,108,38.0593795776367
59031,bh-T,105,27.75,9.54999923706055,30.2264213562012,2878,10.6000003814697,96,40.8112106323242
59032,bh-T,100,27.6124992370605,9.70833301544189,29.3973789215088,2800,10.7000007629395,104,38.0740509033203
59033,bh-T,120,27.7749996185303,9.69999980926514,30.4884662628174,2869,10.6999988555908,67,47.8159828186035
59034,bh-T,90,27.8374996185303,9.49166679382324,29.7049770355225,2916,10.4999980926514,96,40.9228324890137
59035,bh-T,120,27.6375007629395,9.45833396911621,31.4877681732178,2685,10.5000019073486,104,42.0731430053711
59036,bh-T,80,27.4208335876465,9.32499980926514,30.410701751709,2589,10.4000015258789,32,48.0690307617188
59037,bh-T,80,27.75,9.43333339691162,31.115608215332,2654,10.3999996185303,43,51.3210220336914
59038,bh-T,65,27.4833335876465,9.38333320617676,30.624828338623,2698,10.4000015258789,103,41.6727638244629
59039,bh-T,65,27.1333332061768,9.43333339691162,25.878511428833,2716,10.3000011444092,67,43.865062713623
59040,bh-T,100,27.5249996185303,9.76666641235352,28.1634654998779,2746,10.6999988555908,103,42.6972045898438
59041,bh-T,70,27.3916664123535,9.63333320617676,24.4794101715088,2624,10.4999980926514,81,47.6045265197754
59042,bh-T,100,27.5708332061768,9.35833358764648,31.1490783691406,2694,10.3999996185303,40,44.4262542724609
59043,bh-T,100,27.3916664123535,9.43333339691162,30.8834419250488,2635,10.4999980926514,105,39.5728034973145
59044,bh-T,90,27.4125003814697,9.625,26.2093696594238,2966,10.4999980926514,81,43.5800933837891
59048,bh-T,170,17.5375003814697,8.64166641235352,37.3025016784668,1575,9.89999961853027,35,40.9919967651367
59049,NA,135,25.7250003814697,10.2333335876465,27.5103206634521,2102,11.1999988555908,49,48.9981880187988
59050,bh-T,130,27.404167175293,9.3083324432373,27.9982357025146,2461,10.2999992370605,60,51.0371360778809
59051,bh-T,150,27.4208335876465,9.39166641235352,29.4231014251709,2514,10.2999992370605,45,52.6357917785645
59052,bh-T,225,27.6000003814697,9.35000038146973,29.9241428375244,2497,10.3999996185303,55,50.8856048583984
59053,NA,190,22.1958332061768,8.90833377838135,33.4023933410645,2261,9.90000152587891,79,48.9430198669434
59054,bh-T,170,27.5416660308838,9.25000095367432,30.3639488220215,2743,10.3000011444092,55,49.1459426879883
59055,NA,195,27.6749992370605,9.35000038146973,32.5785865783691,2739,10.4000015258789,66,45.8497009277344
59056,bh-T,195,27.470832824707,9.35833358764648,30.0347270965576,2627,10.4000015258789,47,49.3845024108887
59057,bh-T,230,21.470832824707,8.84166622161865,39.1650581359863,2117,9.89999961853027,63,41.9151878356934
59058,bh-T,260,26.3125,9.34166717529297,27.6442489624023,2263,10.2999992370605,54,47.6891288757324
59059,NA,495,26.1291675567627,9.10833358764648,28.7985363006592,2454,10.1000003814697,88,46.1546096801758
59060,bh-T,480,25.0666656494141,9.21666622161865,28.0691757202148,2323,10.2000007629395,40,49.6918563842773
59061,bh-T,520,21.4874992370605,8.92500019073486,39.950267791748,1884,10,77,44.8771057128906
59062,bh-T,500,23.470832824707,8.57499980926514,34.275505065918,2239,9.59999847412109,44,54.6339111328125
59063,bh-T,855,15.875,8.21666622161865,35.0000076293945,1382,9.40000057220459,33,43.6798896789551
59064,bh-T,820,24.0499992370605,8.88333320617676,31.0425033569336,1926,9.89999961853027,64,35.5528945922852
59065,bh-T,830,26.5041656494141,9.42500019073486,28.6402740478516,2368,10.4000015258789,29,51.3225593566895
59066,bh-T,790,21.0416660308838,8.75,40.3863945007324,2117,9.89999961853027,68,47.111629486084
59067,bh-T,715,20.4541664123535,8.80833339691162,39.5116996765137,2019,10,57,49.0849189758301
59068,bh-T,780,15.7333335876465,8.10000038146973,36.8247299194336,1579,9.29999923706055,43,50.2334632873535
59069,bh-T,965,27.216667175293,9.63333320617676,28.391206741333,2670,10.6000003814697,101,40.1242523193359
59071,bh-T,900,24.9833335876465,9.5,29.0245418548584,1960,10.5,42,43.9991874694824
59072,bh-T,450,19.1000003814697,8.43333339691162,38.7884635925293,1917,9.59999942779541,63,46.515552520752
59073,bh-T,475,24.095832824707,9.45833301544189,29.6539421081543,2159,10.3999996185303,39,52.9900131225586
59074,bh-PM,1450,21.3250007629395,9.30000019073486,37.0809936523438,2112,10.5,44,52.8702278137207
59075,bh-PM,1460,18.9624996185303,9.19166660308838,37.2415351867676,1902,10.4999990463257,52,49.3259048461914
59076,bh-PM,1440,18.8708343505859,9.10833358764648,37.9268455505371,1561,10.3000001907349,44,44.8929672241211
59077,bh-PM,1470,18.4333343505859,8.56666660308838,36.2650184631348,1484,9.59999942779541,45,37.3432846069336
59078,bh-T,530,27.0375003814697,9.42500019073486,29.5515804290771,2412,10.4000015258789,47,48.6634140014648
59079,bmh-MB,2055,18.1625003814697,8.47500038146973,41.0722846984863,1548,9.80000114440918,59,40.2774124145508
59080,bmh-MB,2050,17.0041656494141,7.82499980926514,44.8967514038086,1431,9.39999961853027,42,37.8656578063965
59081,bmh-MB,2050,16.404167175293,8.02499961853027,41.5855255126953,1510,9.40000057220459,46,37.5794563293457
59082,bmh-MB,1970,24.4874992370605,9.60833358764648,27.4793357849121,1703,10.3999996185303,29,47.5918273925781
59083,bmh-MB,1985,21.4791660308838,8.07499980926514,31.7274112701416,1849,9,40,49.5233955383301
59084,bs-T,320,20.8041667938232,8.82499980926514,52.8057441711426,1424,10.6999998092651,36,57.6665878295898
59085,bs-T,390,22.4249992370605,9.65000057220459,52.4621086120605,1665,11.2999992370605,50,50.864185333252
59086,bs-T,320,21.8500003814697,9.13333320617676,53.5978240966797,1391,10.8000011444092,45,48.9703903198242
59087,bh-T,740,20.1208324432373,8.44166660308838,52.2867240905762,1398,10.3000001907349,40,36.5723457336426
59088,bh-T,952,18.966667175293,8.28333377838135,54.7030563354492,1379,10.2999992370605,37,43.7147407531738
59089,bh-PM,1000,24.2749996185303,10.3000001907349,55.2884941101074,1704,12,33,52.8709335327148
59090,bh-T,530,21.3958339691162,9.125,48.0746421813965,1395,10.7000007629395,39,56.777889251709
59091,bh-PM,1330,20.2666664123535,8.89999961853027,48.3045921325684,1399,10.5999994277954,53,55.8632164001465
59092,bh-PM,1730,19.6791667938232,8.45833396911621,47.742603302002,1276,10.2000007629395,35,40.3972053527832
59093,bh-PM,1510,15.3458337783813,6.84166669845581,74.3290634155273,1135,9.60000038146973,21,53.7392997741699
59094,bh-PM,1650,20.0166664123535,8.86666679382324,44.8904418945312,1384,10.6000003814697,39,47.5158004760742
59095,bh-PM,1710,16.533332824707,6.83333301544189,78.4605712890625,1313,9.80000019073486,37,36.1304893493652
59096,bh-PM,1490,15.8416662216187,6.81666660308838,73.9727630615234,1330,9.60000038146973,55,34.4018516540527
59097,bh-PM,1210,18.7875003814697,8.02499961853027,51.6599273681641,1395,10,38,46.5383911132812
59098,bh-PM,1340,16.7291660308838,6.82500028610229,72.2513885498047,1271,9.5,37,51.5422592163086
59099,bh-MB,2800,13.2624998092651,7.74166679382324,44.8798789978027,1014,9,32,53.3193893432617
