species,locality,municipality,kingdom,phylum,class,order,family,taxonRank,elevation
Pseudomalmea boyacana,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,SPECIES,159
Psychotria gracilenta,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,158
Psychotria longicuspis,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,158
Psychotria micrantha,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,159
Quiina macrophylla,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Quiinaceae,SPECIES,158
Randia pubistyla,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,159
Rhamdia guatemalensis,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,SPECIES,122
Rhinella humboldti,El Aguila,Cimitarra,Animalia,Chordata,Amphibia,Anura,Bufonidae,SPECIES,140
Rhinella sternosignata,El Aguila,Cimitarra,Animalia,Chordata,Amphibia,Anura,Bufonidae,SPECIES,141
Rhinoclemmys melanosterna,El Aguila,Cimitarra,Animalia,Chordata,Reptilia,Testudines,Geoemydidae,SPECIES,147
Rineloricaria magdalenae,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,SPECIES,129
Rinorea lindeniana,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,SPECIES,158
Rinorea sylvatica,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,SPECIES,158
Rinorea ulmifolia,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,SPECIES,159
Rivulus xi,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,SPECIES,109
Roeboides dayi,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,SPECIES,122
Ronabea latifolia,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,158
Rudgea sclerocalyx,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,158
Ryania speciosa,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,SPECIES,158
Saccoderma hastata,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,SPECIES,122
Scarthyla vigilans,El Aguila,Cimitarra,Animalia,Chordata,Amphibia,Anura,Hylidae,SPECIES,138
Scinax rostratus,El Aguila,Cimitarra,Animalia,Chordata,Amphibia,Anura,Hylidae,SPECIES,163
Scinax ruber,El Aguila,Cimitarra,Animalia,Chordata,Amphibia,Anura,Hylidae,SPECIES,137
Siparuna cervicornis,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Laurales,Siparunaceae,SPECIES,158
Siparuna conica,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Laurales,Siparunaceae,SPECIES,158
Siparuna cuspidata,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Laurales,Siparunaceae,SPECIES,158
Sloanea pacuritana,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Elaeocarpaceae,SPECIES,158
Smilisca phaeota,El Aguila,Cimitarra,Animalia,Chordata,Amphibia,Anura,Hylidae,SPECIES,118
Spathiphyllum patinii,El Aguila,Cimitarra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,SPECIES,158
Staphylea occidentalis,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Crossosomatales,Staphyleaceae,SPECIES,158
Stenostomum acreanum,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,158
Sternopygus aequilabiatus,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Gymnotiformes,Sternopygidae,SPECIES,129
Sturisomatichthys leightoni,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,SPECIES,129
Swartzia simplex,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,SPECIES,158
Sylvicanthon aequinoctialis,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,179
Synbranchus marmoratus,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Synbranchiformes,Synbranchidae,SPECIES,122
Tabernaemontana markgrafiana,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,SPECIES,158
Talisia guianensis,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,SPECIES,158
Tapirira guianensis,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,SPECIES,158
Tectaria incisa,El Aguila,Cimitarra,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Tectariaceae,SPECIES,159
Tetragastris panamensis,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Burseraceae,SPECIES,158
Tovomita choisyana,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,SPECIES,158
Trichilia micrantha,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,SPECIES,159
Trichilia poeppigii,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,SPECIES,158
Trigonia virens,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Trigoniaceae,SPECIES,158
Unonopsis aviceps,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,SPECIES,158
Varronia spinescens,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Ehretiaceae,SPECIES,158
Virola multinervia,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Myristicaceae,SPECIES,158
Virola sebifera,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Myristicaceae,SPECIES,158
Vismia baccifera,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Hypericaceae,SPECIES,158
Vismia macrophylla,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Hypericaceae,SPECIES,158
